year,per_day,people,people_thousand,total
2009,216.3,"4,395,004",4395.004,68.16
2010,221.84,"5,567,277",5567.277,87.19
2011,257.82,"6,087,484",6087.484,110.65
2012,234.31,"7,311,470",7311.47,117.69
2013,224.07,"8,016,280",8016.28,123.22
2014,221.76,"9,910,204",9910.204,146.15
2015,207.87,"10,439,785",10439.785,143.88
2016,192.77,"10,690,279",10690.279,133.74
2017,179.45,"10,739,601",10739.601,1223.15
2018,191.7,"11,066,707",11066.707,137.05
